epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.201,0.83103,80.263,0.49129,0.18591,0.08035,0.03683,0.01079,4.03582,2.48104,1.59985,0.00331858,0.00331858,0.00331858
2,379.263,2.57583,1.83398,1.14166,0.61137,0.73307,0.62281,0.27805,1.80076,1.30727,0.9223,0.00658606,0.00658606,0.00658606
3,565.117,2.1298,1.41538,0.98168,0.57222,0.75697,0.54924,0.27993,1.63466,1.68181,0.89821,0.00978754,0.00978754,0.00978754
4,750.897,1.87526,1.25604,0.94421,0.75347,0.7793,0.75344,0.33124,1.91383,1.24626,0.91365,0.009703,0.009703,0.009703
5,934.673,1.66724,1.07971,0.91215,0.90255,0.79349,0.85008,0.50366,1.46563,0.87263,0.86854,0.009604,0.009604,0.009604
6,1119.99,1.58138,1.00688,0.90407,0.85528,0.77699,0.82064,0.51615,1.38,0.93613,0.87461,0.009505,0.009505,0.009505
7,1303.01,1.50444,0.97351,0.89327,0.94158,0.80265,0.87846,0.5737,1.29719,0.83842,0.86098,0.009406,0.009406,0.009406
8,1488.5,1.46448,0.92916,0.88192,0.90005,0.77822,0.85494,0.50838,1.41238,0.86379,0.86497,0.009307,0.009307,0.009307
9,1671.31,1.412,0.89817,0.87462,0.9447,0.82005,0.87393,0.58453,1.1847,0.76418,0.84426,0.009208,0.009208,0.009208
10,1856.11,1.38716,0.88636,0.86684,0.94055,0.82603,0.88446,0.59708,1.21962,0.75413,0.84976,0.009109,0.009109,0.009109
11,2038.95,1.36854,0.86785,0.86766,0.92577,0.83641,0.88648,0.59367,1.20752,0.69939,0.8403,0.00901,0.00901,0.00901
12,2222.51,1.34779,0.86723,0.86272,0.95689,0.81541,0.89095,0.60939,1.19399,0.73006,0.84038,0.008911,0.008911,0.008911
13,2404.82,1.32635,0.83273,0.86204,0.92743,0.83163,0.89397,0.61321,1.22156,0.72046,0.83937,0.008812,0.008812,0.008812
14,2586.18,1.3079,0.82722,0.86352,0.93308,0.80543,0.88616,0.61113,1.19832,0.74696,0.8512,0.008713,0.008713,0.008713
15,2767.82,1.30629,0.8102,0.86124,0.93553,0.83826,0.89715,0.62219,1.15614,0.68549,0.83451,0.008614,0.008614,0.008614
16,2949.35,1.27746,0.81608,0.85715,0.94685,0.82805,0.89504,0.6284,1.13511,0.70117,0.83091,0.008515,0.008515,0.008515
17,3130.69,1.27182,0.81284,0.85551,0.94428,0.83267,0.89439,0.61415,1.13087,0.69002,0.83247,0.008416,0.008416,0.008416
18,3312.15,1.26657,0.79005,0.85065,0.94933,0.82101,0.89261,0.61301,1.13792,0.69354,0.83912,0.008317,0.008317,0.008317
19,3492.77,1.24209,0.79664,0.8506,0.95195,0.82885,0.89685,0.66714,1.03364,0.67317,0.82304,0.008218,0.008218,0.008218
20,3674.93,1.22327,0.7894,0.84561,0.94667,0.82138,0.89291,0.64856,1.05264,0.6729,0.83222,0.008119,0.008119,0.008119
21,3856.56,1.22427,0.78104,0.84626,0.93624,0.83068,0.89818,0.63118,1.11257,0.66055,0.8311,0.00802,0.00802,0.00802
22,4039.73,1.20769,0.76621,0.84462,0.95703,0.82205,0.90293,0.65253,1.09178,0.67798,0.83087,0.007921,0.007921,0.007921
23,4219.14,1.21078,0.76114,0.84516,0.94726,0.83665,0.90136,0.66878,0.98274,0.62426,0.82295,0.007822,0.007822,0.007822
24,4397.96,1.20106,0.76133,0.8514,0.94692,0.83466,0.90312,0.66191,1.03086,0.64137,0.82426,0.007723,0.007723,0.007723
25,4578.87,1.19203,0.76238,0.84542,0.95218,0.83001,0.90177,0.65532,1.0652,0.67254,0.82665,0.007624,0.007624,0.007624
26,4756.12,1.16726,0.71718,0.84253,0.94313,0.84396,0.90001,0.65657,1.01538,0.62755,0.82544,0.007525,0.007525,0.007525
27,4936.32,1.17577,0.75149,0.84425,0.9492,0.83665,0.90841,0.66693,1.03811,0.65536,0.82236,0.007426,0.007426,0.007426
28,5115.98,1.15943,0.73751,0.83926,0.95662,0.83457,0.90356,0.67137,1.0237,0.65363,0.82368,0.007327,0.007327,0.007327
29,5297.58,1.12983,0.73215,0.8381,0.94755,0.8397,0.90203,0.67538,0.95586,0.62492,0.81713,0.007228,0.007228,0.007228
30,5478.42,1.08949,0.71203,0.83827,0.93807,0.84488,0.90102,0.68365,0.91584,0.60227,0.81856,0.007129,0.007129,0.007129
31,5661.22,1.08509,0.6932,0.83171,0.95151,0.8469,0.90835,0.68344,0.97292,0.61358,0.81667,0.00703,0.00703,0.00703
32,5843.78,1.06782,0.71655,0.83245,0.94898,0.82742,0.90535,0.6918,0.94118,0.62757,0.81741,0.006931,0.006931,0.006931
33,6025.61,1.0559,0.68999,0.83661,0.94972,0.84728,0.90896,0.70208,0.88646,0.5806,0.81237,0.006832,0.006832,0.006832
34,6208.41,1.05112,0.68804,0.83258,0.95851,0.8283,0.90895,0.70487,0.90283,0.58535,0.817,0.006733,0.006733,0.006733
35,6390.31,1.04285,0.69138,0.82797,0.95,0.84531,0.90819,0.69522,0.91388,0.59454,0.81305,0.006634,0.006634,0.006634
36,6580.82,1.03947,0.68368,0.83299,0.94322,0.84595,0.90715,0.70602,0.89475,0.58063,0.81413,0.006535,0.006535,0.006535
37,6769.31,1.03193,0.68112,0.83352,0.94668,0.84881,0.90993,0.70849,0.87518,0.57979,0.81383,0.006436,0.006436,0.006436
38,6958.07,1.0413,0.69059,0.83473,0.95946,0.83665,0.91235,0.70827,0.89625,0.58892,0.81626,0.006337,0.006337,0.006337
39,7141.72,1.03321,0.68885,0.83132,0.94815,0.84989,0.91376,0.70679,0.87908,0.57833,0.81294,0.006238,0.006238,0.006238
40,7322.59,1.01632,0.67333,0.83074,0.95082,0.84725,0.91253,0.71439,0.87681,0.57219,0.81346,0.006139,0.006139,0.006139
41,7504.4,1.02338,0.67127,0.83101,0.94758,0.8506,0.91252,0.7169,0.8529,0.57445,0.80907,0.00604,0.00604,0.00604
42,7686.18,1.00595,0.67913,0.8313,0.96039,0.83732,0.9119,0.71205,0.86963,0.57365,0.81231,0.005941,0.005941,0.005941
43,7868.08,1.01024,0.66083,0.82971,0.96531,0.84462,0.91563,0.71665,0.86226,0.56465,0.81283,0.005842,0.005842,0.005842
44,8050.46,0.99372,0.66019,0.82831,0.952,0.84595,0.91495,0.71536,0.87243,0.5643,0.81137,0.005743,0.005743,0.005743
45,8233.23,0.99975,0.65445,0.83019,0.95159,0.8484,0.91637,0.71314,0.85989,0.56188,0.81098,0.005644,0.005644,0.005644
46,8416.38,0.98591,0.65453,0.82588,0.95098,0.84794,0.91444,0.71278,0.86209,0.5567,0.81068,0.005545,0.005545,0.005545
47,8598.88,0.98689,0.65237,0.82842,0.94524,0.85126,0.91448,0.71973,0.83636,0.55198,0.80871,0.005446,0.005446,0.005446
48,8781.33,0.97663,0.64633,0.8271,0.95437,0.84329,0.91717,0.71997,0.84703,0.55684,0.80846,0.005347,0.005347,0.005347
49,8963.89,0.97497,0.64911,0.829,0.94224,0.85574,0.91761,0.72332,0.84329,0.55805,0.80896,0.005248,0.005248,0.005248
50,9144.04,0.96805,0.63748,0.82971,0.93978,0.85591,0.91508,0.72626,0.82929,0.54459,0.80676,0.005149,0.005149,0.005149
51,9328.86,0.95865,0.63364,0.82035,0.94286,0.85657,0.91597,0.72579,0.82359,0.54845,0.80501,0.00505,0.00505,0.00505
52,9509.6,0.95665,0.6305,0.82161,0.95976,0.84263,0.91893,0.73176,0.82413,0.54469,0.80652,0.004951,0.004951,0.004951
53,9692.84,0.95126,0.62666,0.82393,0.95924,0.84379,0.91956,0.73251,0.81893,0.53968,0.80717,0.004852,0.004852,0.004852
54,9875.92,0.95609,0.61888,0.82211,0.9501,0.84993,0.91989,0.73371,0.81065,0.53888,0.80523,0.004753,0.004753,0.004753
